English,Khmer
legislature,អង្គនីតិបញ្ញត្តិ
legislatures,សភា
legitimacy,ភាពស្របច្បាប់
legitimate,ស្របច្បាប់
legitimated,ស្របច្បាប់
legitimately,ស្របច្បាប់
legitimating,ស្របច្បាប់
legitimation,ស្របច្បាប់
legitimisation,legitimisation
legitimise,ស្របច្បាប់
legitimised,ស្របច្បាប់
legitimising,ស្របច្បាប់
legless,legless
legman,legman
legroom,កន្លែងដាក់ជើង
legs,ជើង
legume,legume
legumes,ពពួកសណ្តែក
leguminous,leguminous
legwork,ការងារទាំងនេះ
leipzig,Leipzig
leisure,ការកំសាន្ត
leisured,leisured
leisurely,ការលំហែ
leisurewear,leisurewear
leitmotif,leitmotif
leitmotifs,leitmotif
leitmotiv,leitmotiv
leitmotivs,leitmotivs
lemma,lemma
lemmas,lemmas
lemming,lemming
lemmings,lemmings
lemon,ក្រូចឆ្មា
lemonade,ក្រូច
lemons,ក្រូច
lemur,ស្វាត្រោស
lemurs,ស្វាត្រោស
lend,ផ្តល់​ប្រាក់កម្ចី
lender,ការផ្តល់ប្រាក់កម្ចី
lenders,ស្ថាប័នផ្តល់ប្រាក់កម្ចី
lending,ការផ្តល់ប្រាក់កម្ចី
lends,ការផ្តល់ប្រាក់កម្ចី
length,ប្រវែង
lengthen,បន្លាយ
lengthened,ប្រវែង
lengthening,ប្រវែង
lengthens,បន្លាយ
lengthier,lengthier
lengthiest,lengthiest
lengthily,lengthily
lengths,ប្រវែង
lengthways,lengthways
lengthwise,lengthwise
lengthy,វែង
leniency,leniency
lenient,ទោសស្រាល
leniently,ទោសស្រាល
lenin,លេនីន
lens,កញ្ចក់
lenses,កញ្ចក់
lensing,Lens
lent,ផ្ដល់ប្រាក់កម្ចី
lentil,សណ្ដែកបាយ
lentils,ណ្ណ
lento,lento
leonardo,លោក Leonardo
leone,អូន
leopard,ខ្លារខិន
leopards,ហ្វូងខ្លារខិន
leopardskin,leopardskin
leotard,ខ្លាដំបងញី
leotards,ខ្លាដំបងញី
leper,មនុស្សឃ្លង់
lepers,មនុស្សឃ្លង់
leprechaun,leprechaun
leprechauns,leprechauns
leprose,leprose
leprosy,រោគឃ្លង់
leprous,ឃ្លង់
lepton,lepton
leptons,leptons
lesbian,ស្រីស្រលាញ់ស្រី
lesbianism,ស្រីស្រឡាញ់ស្រី
lesbians,ស្ត្រីស្រឡាញ់ស្ត្រីដូចគ្នា
lesion,ដំបៅ
lesions,ដំបៅ
lesotho,Lesotho
less,តិច
lessee,អ្នកជួល
lessees,អ្នកជួល
lessen,បន្ថយ
lessened,ថយ
lessening,ការបន្ថយ
lessens,បន្ថយ
lesser,តិចជាង
lesson,មេរៀន
lessons,មេរៀន
lessor,ភតិសន្យាបតី
lessors,ភតិសន្យាបតី
lest,ក្រែងលោ
let,អនុញ្ញាតឱ្យ
lethal,ដ៍សាហាវ
lethality,ដ៍សាហាវ
lethally,ដ៍សាហាវ
lethargic,lethargic
lethargically,អស់កម្លាំង
lethargy,សន្លឹម
lets,អនុញ្ញាតឱ្យ
letter,លិខិត
letterbox,អក្សរ
letterboxes,អក្សរ
lettered,លិខិត
letterhead,ក្បាលសំបុត្រ
letterheads,ក្បាលសំបុត្រ
lettering,អក្សរ
letterpress,Letterpress
letters,អក្សរ
letterwriter,letterwriter
letting,អនុញ្ញាតឱ្យ
lettings,lettings
lettish,lettish
lettuce,សាឡាត់
lettuces,សាឡាត់
leucine,leucine
leukaemia,ជំងឺមហារីកឈាម
leukemia,ជំងឺមហារីកឈាម
level,កម្រិត
levelheaded,levelheaded
levelled,តាមស្មើ
leveller,ស្មើវិញ
levelling,កម្រិត
levelly,levelly
levels,កម្រិត
lever,ដងថ្លឹង
leverage,អានុភាព
leveraged,កម្លាំង
levered,levered
levering,ជញ្ជីង
levers,ជញ្ជីង
levi,លោកលេវី
leviathan,ស្រ្តា
levied,កំណត់
levies,ការយកពន្ធ
levitate,ពួកលេវី
levitated,levitated
levitates,ពួកលេវី
levitating,ពួកលេវី
levitation,ពួកលេវី
levity,levity
levy,ការយកពន្ធ
levying,លោកលេវី
lewd,ស៊ិ
lewdness,បទល្មើសណាមួយ
lexeme,lexeme
lexemes,lexemes
lexical,lexical
lexically,lexically
lexicographer,អ្នកនិពន្ធសទ្ទានុក្រម
lexicographers,អ្នកនិពន្ធសទ្ទានុក្រម
lexicographic,អ្នកនិពន្ធសទ្ទានុក្រម
lexicographical,អ្នកនិពន្ធសទ្ទានុក្រម
lexicographically,អ្នកនិពន្ធសទ្ទានុក្រម
lexicography,Lexicography
lexicon,សទ្ទានុក្រម
lexicons,សទ្ទានុក្រម
leyden,leyden
liabilities,បំណុល
liability,ការទទួលខុសត្រូវ
liable,ទទួលខុសត្រូវ
liaise,liaise
liaised,liaised
liaises,liaises
liaising,liaising
liaison,ទំនាក់ទំនង
liaisons,ស្ពាន
liar,និយាយកុហក
liars,កុហក
libation,សក្ការបូជាបន្ថែម
libations,សក្ការបូជាបន្ថែម
libel,បង្ខូចកេរ្ដិ៍
libeled,បង្ខូចកេរ្តិ៍ឈ្មោះ
libeler,បង្ខូចកេរ្តិ៍ឈ្មោះ
libelled,បង្ខូចកេរ្តិ៍ឈ្មោះ
libeller,បង្ខូចកេរ្តិ៍ឈ្មោះ
libelling,បង្ខូចកេរ្តិ៍ឈ្មោះ
libellous,បង្ខូចកេរ្តិ៍ឈ្មោះ
libels,បង្ខូចកេរ្តិ៍ឈ្មោះ
liberal,សេរី
liberalisation,សេរីភាវូបនីយកម្ម
liberalise,រំដោះ
liberalised,សេរី
liberalising,រំដោះ
liberalism,សេរីភាពនិយម
liberality,អំណោយ
liberally,សេរីភាវូបនីយកម្ម
liberals,សេរីនិយម
liberate,រំដោះ
liberated,រំដោះ
liberates,រំដោះ
liberating,សេរី
liberation,រំដោះ
liberationists,liberationists
liberator,រំដោះ
liberators,រំដោះ
liberia,លីបេរីយ៉ា
libero,ដោយឥតគិតថ្លៃ
libertarian,សេរីនិយម
libertarianism,សេរីនិយម
libertarians,សេរីនិយម
liberties,សេរីភាព
libertine,libertine
libertines,libertines
liberty,សេរីភាព
libidinous,libidinous
libido,ចំណង់ផ្លូវភេទ
librarian,បណ្ណារក្ស
librarians,បណ្ណារក្ស
librarianship,librarianship
libraries,បណ្ណាល័យ
library,បណ្ណាល័យ
librate,librate
librated,librated
librates,librates
libretti,libretti
librettist,librettists
librettists,librettists
libretto,Libretto នេះ
libya,លីប៊ី
libyan,លីប៊ី
libyans,លីប៊ី
lice,ចៃ
licence,អាជ្ញាប័ណ្ណ
licences,អាជ្ញាប័ណ្ណ
license,អាជ្ញាប័ណ្ណ
licensed,ទទួលបានអាជ្ញាប័ណ្ណ
licensee,អាជ្ញាប័ណ្ណ
licensees,អាជ្ញាប័ណ្ណ
licenses,អាជ្ញាប័ណ្ណ
licensing,ផ្តល់អាជ្ញាបណ្ណ
licentiate,ការអៀនខ្មាស់
licentious,ការអៀនខ្មាស់
licentiousness,អៀនខ្មាស់
lichee,lichee
lichen,lichen
lichened,lichened
lichens,lichens
lichi,lichi
lichis,lichis
lick,លិត
licked,លិទ្ធ
lickerish,lickerish
licking,លិត
licks,licks
licorice,licorice
lid,គំរប
lidded,lidded
lidless,lidless
lido,Lido
lids,lids
lie,កុហក
lied,កុហក
lieder,Lieder
lien,សិទ្ធិឃុំគ្រង
liens,Lien
lies,កុហក
lieu,ជំនួស
lieutenancy,លោកអនុសេនីយ៍ត្រី
lieutenant,អនុសេនី
lieutenants,អនុសេនីយ៍
life,ជីវិត
lifeanddeath,lifeanddeath
lifebelt,lifebelt
lifeblood,ឈាម
lifeboat,ទូក
lifeboatmen,lifeboatmen
lifeboats,ទូកសង្គ្រោះ
lifeforms,lifeforms
lifegiving,lifegiving
lifeguard,អ្នកយាម
lifeguards,ឆ្មាំ
lifeless,គ្មានជីវិត
lifelessly,lifelessly
lifelessness,គ្មានជីវិត
lifelike,ដូចជានៅរស់
lifeline,ផ្គត់ផ្គង់
lifelines,ខ្សែជីវិត
lifelong,ពេញមួយជីវិត
liferaft,liferaft
liferafts,liferafts
lifesaving,រក្សា​ជីវិត
lifesize,lifesize
lifesized,lifesized
lifespan,អាយុកាល
lifespans,អាយុ
lifestyle,របៀបរស់នៅ
lifestyles,របៀបរស់នៅ
lifetaking,lifetaking
lifethreatening,lifethreatening
lifetime,ឆាកជីវិត
lifetimes,ជីវិត
lifework,កិច្ចការ
lift,លើក
lifted,លើក
lifter,lifter
lifters,ក្នុងចំណោមអ្នកហាត់ប្រាណ
lifting,លើក
liftman,liftman
liftmen,liftmen
liftoff,liftoff
lifts,ការលើក
ligament,សរសៃចង
ligaments,សរសៃ
ligand,ligands
ligands,ligands
ligature,ជាប់គ្នា
ligatured,តំណ
ligatures,តំណ
ligaturing,តំណ
light,ពន្លឺ
lighted,ភ្លើង
lighten,Lighten
lightened,រន្ទះ
lightening,រន្ទះ
lightens,រន្ទះ
lighter,ស្រាលជាងមុន
lighters,ខិត
lightest,ស្រាល
lightheaded,ឈឺក្បាល
lightheadedness,lightheadedness
lighthearted,ដែលរីករាយ
lightheartedly,lightheartedly
lightheartedness,lightheartedness
lighthouse,បង្គោលភ្លើងហ្វារ
lighthouses,បង្គោលភ្លើងហ្វារ
lighting,ភ្លើងបំភ្លឺ
lightless,lightless
lightly,ស្រាល
lightness,ពន្លឺ
lightning,រន្ទះ
lights,ពន្លឺភ្លើង
lightship,lightship
lightweight,ទម្ងន់ស្រាល
lightweights,ទម្ងន់ស្រាល
lignite,lignite
likable,ជាទីគាប់ព្រះហឫទ័យ
like,ដូច
likeability,នាក់ដែលទស្សនិកជនចូលចិត្ត
likeable,នាក់ដែលទស្សនិកជនចូលចិត្ត
liked,ចូលចិត្ត
likelier,ប្រឈម
likeliest,ស័ក្តិ
likelihood,លទ្ធភាព
likely,ទំនង
likeminded,likeminded
liken,ប្រដូច
likened,ប្រដូច
likeness,ភាពដូច
likenesses,ដូចជាការ
likening,ប្រដូច
likens,ប្រដូច
likes,ការចុច Like
likewise,ដូចគ្នាដែរ
liking,ចំណង់
likings,ដូចជាការ
lilac,lilac
lilacs,lilac
lilies,លី
lilliput,lilliput
lilliputian,lilliputian
lilongwe,Lilongwe
lilt,lilt
lilting,lilt
lily,ផ្កាលីលី
lilylivered,lilylivered
lilywhite,lilywhite
lima,ឯកសារ
limb,ជើង
limber,limber
limbering,limbering
limbers,limbers
limbless,អ្នកពិការជាតិឥណ្ឌា
limbo,ស្រពេចស្រពិល
limbs,អវយវៈ
lime,ការ lime
limekiln,limekiln
limelight,ការចាប់អារម្មណ៍
limerick,Limerick
limericks,Limerick
limes,ឆ្មាទាំងឡាយ
limestone,ថ្មកំបោរ
limestones,ថ្មកំបោរ
limeys,លីម៉ីធ្វើ
liminal,liminal
liming,Liming
limit,ដែនកំណត់
limitation,ដែនកំណត់
limitations,ដែនកំណត់
limited,មានកំណត់
limiter,កំណត់
limiters,ដែនកំណត់
limiting,limiting
limitless,គ្មានព្រំដែនកំណត់ទេ
limits,ដែនកំណត់
limo,limo
limousin,Limousin
limousine,limousine
limousines,limousines
limp,ត្រង់
limped,ត្រង់
limpet,limpet
limpets,limpets
limpid,limpid
limping,ត្រង់
limply,limply
limpopo,Limpopo
limps,ត្រង់
linage,linage
linchpin,សមាជិកសំខាន់
lincoln,Lincoln
linden,linden
line,បន្ទាត់
lineage,ពូជពង្ស
lineages,ពូជ
lineally,ជាប់ពូជ
lineaments,lineaments
linear,លីនេអ៊ែរ
linearised,linearised
linearity,លីនេអ៊ែរ
linearly,លីនេអ៊ែ
lined,ជួរ
linefeed,ចុះបន្ទាត់
lineman,lineman
linemen,linemen
linen,ក្រណាត់ទេសឯក
linens,សមបត់
lineout,lineout
lineouts,lineouts
liner,ការ liner
liners,ផ្តោ
lines,បន្ទាត់
linesman,ការអាជ្ញាកណ្ដាល
linesmen,linesmen
lineup,តម្រង់​ជួរ
lineups,ក្រុម
linger,linger
lingered,បន្ដ
lingerer,linger
lingerie,អាវទ្រនាប់
lingering,យូរ
lingeringly,lingeringly
lingers,នៅអូសបន្លាយ
lingua,ភាសា
lingual,ភាសា
linguist,ភាសា
linguistic,ភាសា
linguistically,ភាសា
linguistics,ភាសា
linguists,ភាសាវិទូ
liniment,liniment
liniments,liniments
lining,ស្រទាប់
linings,Linings
link,តំណភ្ជាប់
linkable,linkable
linkage,ទំនាក់ទំនង
linkages,ទំនាក់ទំនង
linked,ភ្ជាប់
linker,linker
linkers,linkers
linking,ការភ្ជាប់
links,តំណភ្ជាប់
linkup,ភ្ជាប់
linkups,linkups
linnet,linnet
linnets,linnet
lino,Linos
linoleum,linoleum
linseed,linseed
lint,lint
lintel,ធ្នឹម
lintels,ធ្នឹម
liny,liny
lion,សត្វតោ
lioness,តោញី
lionesses,តោញី
lionise,lionise
lionised,lionised
lions,តោ
lip,បបូរមាត់
lipase,lipase
lipid,ជាតិខ្លាញ់
lipids,កម្រិតជាតិខ្លាញ់
lipped,ស្ងាត់ស្ងៀម
lipread,lipread
lipreading,lipreading
lips,បបូរមាត់
lipservice,lipservice
lipstick,មាត់
lipsticks,មាត់
liquefaction,liquefaction
liquefied,រាវ
liquefy,liquefy
liqueur,liqueur
liqueurs,liqueurs
liquid,រាវ
liquidate,រាវ
liquidated,ជម្រះបញ្ជី
liquidating,រាវ
liquidation,ការទូទាត់
liquidations,សាច់ប្រាក់ងាយស្រួល
liquidator,អ្នកត្រួតពិនិត្យ
liquidators,ទូទាត់បញ្ជី
liquidise,liquidise
liquidised,liquidised
liquidiser,liquidiser
liquidising,liquidising
liquidity,សាច់ប្រាក់ងាយស្រួល
liquids,រាវ
liquify,liquify
liquor,ស្រា
liquorice,Liquorice
liquorish,liquorish
liquors,ស្រា
lira,លីរ៉ា
lire,lire
lisbon,ទីក្រុងលីសបន
lisp,ការនិយាយលុលឭ
lisped,ការនិយាយលុលឭ
lisping,ការនិយាយលុលឭ
lisps,ការនិយាយលុលឭ
lissom,lissom
lissome,lissome
lissomeness,lissomeness
lissomness,lissomness
list,បញ្ជី
listed,រាយបញ្ជី
listen,ស្តាប់
listened,ស្ដាប់
listener,ស្តាប់
listeners,អ្នកស្តាប់
listening,ស្តាប់
listens,ការស្ដាប់
listeria,Listeria
listing,ឈ្មោះ
listings,ការចុះបញ្ជី
listless,រង
listlessly,listlessly
listlessness,listlessness
lists,បញ្ជី
lit,Lit
litanies,ជាប់គុន
litany,ជាប់គុន
litchi,litchi
literacy,អក្ខរកម្ម
literal,ព្យញ្ជនៈ
literalism,ព្យញ្ជនៈ
literalistic,literalistic
literally,ព្យញ្ជនៈ
literals,literals
literary,អក្សរសាស្ត្រ
literate,ចេះអានចេះសរសេរ
literati,literati
literature,អក្សរសាស្រ្ត
literatures,អក្សរសាស្ត្រ
lithe,lithe
lithely,lithe
lithium,លីចូម
lithograph,lithographs
lithographic,lithographs
lithographs,lithographs
lithography,lithography
lithological,lithological
lithologies,lithologies
lithology,lithology
lithosphere,lithosphere
litigant,គូក្តី
litigants,វិវាទ
litigate,វិវាទ
litigating,វិវាទ
litigation,វិវាទ
litigious,litigious
litigiousness,litigiousness
litmus,litmus
litotes,litotes
litre,លីត្រ
litres,លីត្រ
litter,សំរាម
littered,រាយប៉ាយ
littering,ការទុកដាក់សំរាម
litters,ទុកដាក់សំរាម
little,តិចតួច
littleness,តូចតាច
littler,littler
littlest,littlest
littoral,ជាប់ដែនទឹកទាំងនោះ
liturgical,liturgical
liturgies,របៀបរបបបុណ្យសាសនា
liturgy,ពិធី
livable,អោយគេរស់នៅបាន
live,ការផ្សាយបន្តផ្ទាល់
liveable,liveable
lived,រស់
livelier,ចលនា
liveliest,រស់រវើក
livelihood,ជីវភាពរស់នៅ
livelihoods,ជីវភាព
liveliness,ចលនា
lively,រស់រវើក
liven,liven
livened,liven
livening,liven
livens,liven
liver,ថ្លើម
liveried,livery
liveries,livery
liverish,liverish
livers,ថ្លើម
liverworts,liverworts
livery,livery
lives,ជីវិត
livestock,សត្វចិញ្ចឹម
livewire,livewire
livid,ក្រុម Livid
lividly,lividly
living,ការរស់នៅ
livings,ជីវភាព
lizard,សត្វ
lizards,ជីងចក់
llama,លីអាម៉ា
llamas,Llamas
lls,lls
load,ផ្ទុក
loadable,ដែលអាចផ្ទុកបាន
loaded,បានផ្ទុក
loader,កម្មវិធី
loaders,កម្មវិធី
loading,ផ្ទុក
loadings,កំពុងផ្ទុក
loads,ផ្ទុក
loaf,នំប៉័ង
loafed,នំប៉័ង
loafer,loafer
loafers,loafers
loafing,នំប៉័ង
loafs,នំប៉័ង
loam,loam
loams,loam
loamy,ល្បាយ
loan,ប្រាក់កម្ចី
loanable,loanable
loaned,កម្ចី
loaner,loaner ដោយ
loaning,ប្រាក់កម្ចី
loans,ប្រាក់កម្ចី
loanword,loanwords
loanwords,loanwords
loath,ស្អប់
loathe,loathe
loathed,ស្អប់
loathes,ស្អប់
loathing,ស្អប់
loathsome,គួរឱ្យស្អប់ខ្ពើម
loathsomely,គួរឱ្យស្អប់ខ្ពើម
loathsomeness,គួរឱ្យស្អប់ខ្ពើម
loaves,នំប៉័ង
lob,គ្រាប់បាល់បញ្ចូលទី
lobbed,lobbed
lobbied,បន្ទប់រង់ចាំ
lobbies,បញ្ចុះបញ្ចូល
lobbing,lobbing
lobby,បន្ទប់រង់ចាំ
lobbying,បញ្ចុះបញ្ចូល
lobbyist,បញ្ចុះបញ្ចូល
lobbyists,បញ្ចុះបញ្ចូល
lobe,lobe
lobed,lobe
lobelia,lobelia
lobes,សំដៅលើ
lobotomies,lobotomies
lobotomised,lobotomised
lobotomising,lobotomising
lobotomist,lobotomist
lobotomy,lobotomy
lobs,lobs
lobster,បង្កង
lobsters,បង្កង
lobular,lobular
local,ក្នុងតំបន់
locale,មូលដ្ឋាន
locales,មូលដ្ឋាន
localisation,មូលដ្ឋានីយកម្ម
localisations,localisations
localise,អ្នកស្រុក
localised,ធ្វើមូលដ្ឋានីយកម្ម
localises,localises
localising,localising
localities,តំបន់
locality,តំបន់
locally,ក្នុងមូលដ្ឋាន
locals,អ្នកស្រុក
locatable,បណ្តាញប្រតិបត្តិការ
locate,កំណត់ទីតាំង
located,ដែលមានទីតាំងស្ថិត
locates,បណ្តាញប្រតិបត្តិការ
locating,ទីតាំង
location,ទីតាំង
locational,ក្នុងតំបន់
locations,ទីតាំង
locative,locative
locator,បណ្តាញប្រតិបត្តិការ
locators,Locators
loch,Loch
lochness,Loch
lochs,Loch
loci,ទីតាំង
lock,ចាក់សោ
lockable,lockable
lockage,lockage
locked,បានជាប់សោ
locker,locker
lockers,សម្រាក
locket,locket
locking,ចាក់សោ
lockjaw,រឹងថា្គម
lockout,ឡុកអៅ
lockouts,ឡុកអៅ
locks,សោ
locksmith,សោរ
loco,LoCo
locomote,ក្បាលរថភ្លើង
locomotion,ក្បាលម៉ាស៊ីន
locomotive,ក្បាលរថភ្លើង
locomotives,ក្បាលរថភ្លើង
locus,ស្ថានរេខាណិត
locust,កណ្ដូប
locusts,កណ្តូប
lode,lode
lodestar,lodestar
lodestone,lodestone
lodge,ផ្ទះសំណាក់
lodged,បានដាក់
lodgement,lodgement
lodger,lodger
lodgers,lodgers
lodges,ផ្ទះសំណាក់
lodging,កន្លែងស្នាក់
lodgings,ផ្ទះសំណាក់
loess,loess
loft,បន្ទប់
lofted,lofted
loftier,ខ្ពង់ខ្ពស់
loftiest,ឧត្ដមបំផុតស្ដី
loftily,loftily
loftiness,ខ្ពស់
lofts,loft
lofty,ខ្ពស់
log,កំណត់ហេតុ
loganberries,loganberries
loganberry,loganberry
logarithm,លោការីត
logarithmic,លោការីត
logarithmically,លោការីត
logarithms,លោការីត
logbook,សៀវភៅ
logbooks,សៀវភៅកំណត់ត្រា
logged,កត់ឈ្មោះចូល
logger,ឈ្មួញកាប់ឈើ
loggerheads,loggerheads
loggers,អ្នកកាប់ឈើ
logging,ការកាប់ឈើ
logic,តក្ក
logical,ឡូជីខល
logicality,ឡូជីខល
logically,តក្ក
logician,តក្កវិទ្យា
logicians,តក្កវិទ្យា
logics,ឡូជីខល
logistic,ដឹកជញ្ជូន
logistical,ភស្តុភារ
logistically,ដឹកនាំសាស្ត្រ
logistics,ការដឹកជញ្ជូន
logjam,កំពុងតែជាប់គាំងស្តី
logo,ស្លាកសញ្ញា
logoff,ចាកចេញ
logos,ស្លាកសញ្ញា
logs,កំណត់ហេតុ
loin,loin សាច់
loincloth,loincloth
loins,ចង្កេះ
loire,Loire
loiter,ខ្ជិល
loitered,loitered
loiterer,ខ្ជិល
loiterers,ខ្ជិល
loitering,ខ្ជិល
loiters,ខ្ជិល
loll,loll
lolled,lolled
lollies,lollies
lolling,lolling
lollipop,Lollipop
lollipops,ថា Lollipop
lolly,lolly
london,ទីក្រុងឡុងដ៍
londoner,ក្រុងឡុងដ៍
lone,តែ
lonelier,ភាពឯកោ
loneliest,ជាងគេ
loneliness,ភាពឯកោ
lonely,ឯកោ
loner,loner
loners,loner
lonesome,រសាប់រសល់
lonesomeness,រសាប់រសល់
long,ជាយូរមកហើយ
longawaited,longawaited
longed,ចង់
longer,យូរជាងនេះ
longest,វែងបំផុត
longevity,ភាពជាប់បានយូរ
longfaced,longfaced
longhand,longhand
longing,ចង់បាន
longingly,ចំណង់
longings,ក្ដីប្រាថ្នា
longish,longish
longitude,រយៈបណ្ដោយ
longitudes,រយៈបណ្ដោយ
longitudinal,រយៈបណ្តោយ
longitudinally,រយៈបណ្តោយ
longlasting,រយៈពេល​យូរ
longlived,longlived
longlost,longlost
longs,ឡុង
longstanding,ជាយូរ
longsuffering,អត់ធ្មត់
longwinded,longwinded
longwindedness,longwindedness
loo,លោកខេនលូ
look,រូបរាង
lookalike,មើល​ទៅ​ដូចគ្នា
lookalikes,lookalikes
looked,មើលទៅ
looker,ជា looker
lookers,looker
looking,កំពុងរកមើល
lookingglass,lookingglass
lookingglasses,lookingglasses
lookout,ឃ្លាំមើល
lookouts,យាមល្បាត
looks,រូបរាង
loom,loom
loomed,loom
looming,នៅពេលខាងមុខ
looms,កីតម្បាញ
loon,រកមើល
looney,Looney
loony,មួយ loonie
loop,រង្វិលជុំ
looped,រង្វិលជុំ
loophole,ចន្លោះប្រហោង
loopholes,ចន្លោះប្រហោង
looping,រង្វិលជុំ
loops,រង្វិលជុំ
loopy,loopy
loose,ស្រាយ
loosed,ស្រាយ
loosely,រលុង
loosen,Loosen
loosened,បន្ធូរបន្ថយ
looseness,រលុង
loosening,ការបន្ធូរបន្ថយ
loosens,Loosen
looser,សភាពយារធ្លាក់
looses,រលុង
loosest,loosest
loosing,ការបន្ធូរ
loot,ប្លន់
looted,លួច
looter,looters
looters,ខ្មាំងប្លន់ដូច្នេះ
looting,លួច
loots,ការលួច
lop,Lop
lope,កញ្ញាឡូប៉េស
loped,កញ្ញាឡូប៉េស
lopes,កញ្ញាឡូប៉េស
loping,កញ្ញាឡូប៉េស
lopped,lopped
lopper,lopper
loppers,loppers
lopping,lopping
lopsided,ផ្អៀងទៅម្ខាង
lopsidedly,lopsidedly
loquacious,loquacious
loquacity,loquacity
lord,ម្ចាស់
lording,ព្រះអម្ចាស់
lordly,lordly
lords,ស្ដេចត្រាញ់
lordship,អ្នកដែលមានអំណាច
lordships,អ្នកដែលមានអំណាច
lore,មុខវិជ្ជា
lorelei,Lorelei
lorries,កុងតឺន័រ
lorry,ឡានដឹកទំនិញ
lorryload,lorryload
lorryloads,lorryloads
losable,losable
lose,បាត់បង់
loser,អ្នក​ចាញ់
losers,អ្នកចាញ់
loses,បាត់បង់
losing,ចាញ់
losings,បាត់បង់
loss,ការបាត់បង់
losses,ការខាតបង់
lost,បាត់បង់
lot,ច្រើន
loth,លូត
lotion,ឡេលាប
lotions,លាប
lots,ច្រើន
lotteries,ឆ្នោត
lottery,ឆ្នោត
lotto,Lotto
lotus,ឈូក
louche,louche
loud,ខ្លាំង
louder,កាន់តែខ្លាំង
loudest,ខ្លាំងបំផុត
loudhailer,loudhailer
loudhailers,loudhailers
loudly,ឮ
loudmouthed,loudmouthed
loudness,ឮខ្លាំង
loudspeaker,ប្រដាប់បំពងសំឡេង
loudspeakers,ប្រដាប់បំពងសំឡេងស្រែក
louis,លោក Louis
lounge,កន្លែង
lounged,Lounge
lounger,lounger
loungers,loungers
lounges,ការកំសាន្ត
lounging,Lounge
louse,ចៃ
lousiest,lousiest
lousily,lousily
lousy,ឯងអន់ណាស់
lout,lout
loutish,loutish
loutishness,loutishness
louts,louts
louver,louver
louvers,louvers
louvre,សារមន្ទីរ Louvre
louvred,សារមន្ទីរ Louvre
louvres,សារមន្ទីរ Louvre
lovable,គួរឱ្យស្រឡាញ់
love,សេចក្ដីស្រឡាញ់
loveable,គួរឱ្យស្រលាញ់
lovebirds,lovebirds
loved,ស្រឡាញ់
loveless,គ្មានសេចក្ដីស្រឡាញ់
lovelier,lovelier
lovelies,សេចក្ដីស្រឡាញ់
loveliest,ស្រលាញ់បំផុត
loveliness,loveliness
lovelorn,lovelorn
lovely,គួរឱ្យស្រឡាញ់
lovemaking,រួមភេទ
lover,គូស្នេហ៍
lovers,ស្រឡាញ់
loves,ស្រឡាញ់
lovesick,Lovesickness
lovestruck,lovestruck
loving,ដោយក្ដីស្រឡាញ់
lovingly,ដោយក្ដីស្រឡាញ់
low,ទាប
lower,ទាប
lowercase,អក្សរ​តូច
lowered,បន្ទាប
lowering,ការបញ្ចុះ
lowers,ទាប
lowest,ទាបបំផុត
lowing,lowing
lowish,lowish
lowkey,lowkey
lowland,ទំនាប
lowlanders,តំបន់ទំនាប
lowlands,តំបន់ទំនាប
lowlier,lowlier
lowliest,ទាបជាងគេបង្អស់
lowly,មនុស្សទន់ទាប
lowlying,មនុស្សទន់ទាប
lowness,lowness
lowpitched,lowpitched
lows,ទាប
lowspirited,lowspirited
loyal,ស្មោះត្រង់
loyalist,ក្រុមអ្នកស្មោះត្រង់
loyalists,ពួកអ្នកស្មោះត្រង់
loyally,យ៉ាងស្មោះត្រង់
loyalties,ភក្តីភាព
loyalty,ភាពស្មោះត្រង់
lozenge,តុលិកា
lozenges,តុលិកា
luanda,ក្រុងលូអង់ដា
lubber,lubber
lubbers,lubbers
lubricant,រេបង
lubricants,ប្រេងរំអិល
lubricate,ប្រេងរំអិល
lubricated,ប្រេងរំអិល
lubricates,ប្រេងរំអិល
lubricating,រំអិល
lubrication,ការបញ្ចេញទឹករំអិល
lubricious,lubricious
lucid,lucid
lucidity,Lucid
lucidly,lucidly
lucifer,លូស៊ីហ្វើរ
luck,សំណាង
luckier,សំណាង
luckiest,មានសំណាង
luckily,សំណាងល្អ
luckless,luckless
lucky,សំណាង
lucrative,រកកម្រៃ
lucre,ចង់បានប្រាក់កាស
ludicrous,ludicrous
ludicrously,ludicrous
ludicrousness,ludicrous
ludo,Ludo
lug,lug
luggage,ឥវ៉ាន់
lugged,lugged
lugging,lugging
lugs,lugs
lugubrious,lugubriously
lugubriously,lugubriously
luke,លូកា
lukewarm,មិនក្តៅមិនត្រជាក់
lull,ភាពស្ងប់ស្ងាត់
lullabies,លូឡាប៊ី
lullaby,Lullaby
lulled,ភាពស្ងប់ស្ងាត់
lulling,ភាពស្ងប់ស្ងាត់
lulls,ភាពស្ងប់ស្ងាត់
lulu,Lulu
lumbago,lumbago
lumbar,lumbar
lumber,ឈើ
lumbered,ឈើ
lumbering,ឈើ
lumberjack,lumberjack
lumberjacks,lumberjack
lumbers,ឈើ
lumen,lumen
luminal,luminous
luminance,ពន្លឺ
luminaries,តួពន្លឺ
luminary,luminary
luminescence,luminescence
luminescent,luminescent
luminosities,ពន្លឺ & ‧;
luminosity,ពន្លឺ
luminous,luminous
luminously,luminous
lump,ដុំ
lumped,ដុំពក
